record_uid,index,name,family,value
D1_training-a_a0005,0,time_mean,time,-1.5357227383452609e-10
D1_training-a_a0005,1,time_std,time,0.9999999996287315
D1_training-a_a0005,2,time_var,time,0.9999999992574631
D1_training-a_a0005,3,time_min,time,-9.863367080688477
D1_training-a_a0005,4,time_max,time,6.563884735107422
D1_training-a_a0005,5,time_range,time,16.4272518157959
D1_training-a_a0005,6,time_median,time,0.0016694148653186858
D1_training-a_a0005,7,time_iqr,time,0.427151158452034
D1_training-a_a0005,8,time_skewness,time,-0.56897223857684
D1_training-a_a0005,9,time_kurtosis,time,12.9261524175362
D1_training-a_a0005,10,time_energy,time,71331.99994703336
D1_training-a_a0005,11,time_rms,time,0.9999999996287315
D1_training-a_a0005,12,time_peak_to_peak,time,16.4272518157959
D1_training-a_a0005,13,time_crest_factor,time,9.863367084350434
D1_training-a_a0005,14,time_zcr_mean,time,0.036297323028673834
D1_training-a_a0005,15,time_zcr_std,time,0.006195962052483176
D1_training-a_a0005,16,time_shannon_entropy,time,3.2101102458074515
D1_training-a_a0005,17,time_sample_entropy,time,0.10441444176238436
D1_training-a_a0005,18,time_hjorth_activity,time,0.9999999992574631
D1_training-a_a0005,19,time_hjorth_mobility,time,0.1256832322237858
D1_training-a_a0005,20,time_hjorth_complexity,time,1.5770108006250165
D1_training-a_a0005,21,time_autocorr_peak_value,time,0.46808903011260916
D1_training-a_a0005,22,time_autocorr_peak_lag,time,0.0285
D1_training-a_a0005,23,time_duration,time,35.666
D1_training-a_a0005,24,freq_centroid_mean,frequency,60.85558163412724
D1_training-a_a0005,25,freq_centroid_std,frequency,12.076264677423502
D1_training-a_a0005,26,freq_bandwidth_mean,frequency,56.11526883485181
D1_training-a_a0005,27,freq_bandwidth_std,frequency,16.106465796549585
D1_training-a_a0005,28,freq_rolloff85_mean,frequency,94.47804659498208
D1_training-a_a0005,29,freq_rolloff85_std,frequency,30.259768404735407
