record_key,record_uid,fs,native_fs,stride,sample_index,time_sec,raw,filtered,normalized,filtered_normalized
d1_normal,D1_training-a_a0005,2000,2000,10,0,0.0,-0.00168,-0.00295,-0.01917,-0.03493
d1_normal,D1_training-a_a0005,2000,2000,10,10,0.005,-0.0148,-0.02183,-0.16994,-0.25932
d1_normal,D1_training-a_a0005,2000,2000,10,20,0.01,0.0011,-0.01003,0.01273,-0.11905
d1_normal,D1_training-a_a0005,2000,2000,10,30,0.015,0.02698,0.01455,0.31006,0.17314
d1_normal,D1_training-a_a0005,2000,2000,10,40,0.02,0.02417,0.01244,0.2778,0.14806
d1_normal,D1_training-a_a0005,2000,2000,10,50,0.025,0.01419,0.0055,0.16315,0.06557
d1_normal,D1_training-a_a0005,2000,2000,10,60,0.03,0.02155,0.01603,0.24765,0.19071
d1_normal,D1_training-a_a0005,2000,2000,10,70,0.035,-0.00113,-0.00384,-0.01286,-0.04556
d1_normal,D1_training-a_a0005,2000,2000,10,80,0.04,-0.02567,-0.02788,-0.29476,-0.3313
d1_normal,D1_training-a_a0005,2000,2000,10,90,0.045,-0.02231,-0.02629,-0.25619,-0.31235
d1_normal,D1_training-a_a0005,2000,2000,10,100,0.05,0.00214,-0.00442,0.02465,-0.05235
d1_normal,D1_training-a_a0005,2000,2000,10,110,0.055,0.02802,0.02007,0.32198,0.2387
d1_normal,D1_training-a_a0005,2000,2000,10,120,0.06,0.03717,0.0293,0.42716,0.34851
d1_normal,D1_training-a_a0005,2000,2000,10,130,0.065,0.02319,0.01976,0.26658,0.23501
d1_normal,D1_training-a_a0005,2000,2000,10,140,0.07,0.00259,0.00608,0.02991,0.07247
d1_normal,D1_training-a_a0005,2000,2000,10,150,0.075,-0.03314,-0.0225,-0.38066,-0.26735
d1_normal,D1_training-a_a0005,2000,2000,10,160,0.08,-0.05499,-0.03904,-0.63171,-0.46401
d1_normal,D1_training-a_a0005,2000,2000,10,170,0.085,-0.03348,-0.0155,-0.38452,-0.18413
d1_normal,D1_training-a_a0005,2000,2000,10,180,0.09,-0.00623,0.01063,-0.07142,0.1265
d1_normal,D1_training-a_a0005,2000,2000,10,190,0.095,0.0238,0.03708,0.27359,0.44095
d1_normal,D1_training-a_a0005,2000,2000,10,200,0.1,0.00894,0.01643,0.10284,0.19542
d1_normal,D1_training-a_a0005,2000,2000,10,210,0.105,-0.01712,-0.01502,-0.19659,-0.17836
d1_normal,D1_training-a_a0005,2000,2000,10,220,0.11,-0.00656,-0.00994,-0.07527,-0.11802
d1_normal,D1_training-a_a0005,2000,2000,10,230,0.115,0.0047,-0.003,0.0541,-0.03547
d1_normal,D1_training-a_a0005,2000,2000,10,240,0.12,0.00372,-0.00803,0.04288,-0.09532
d1_normal,D1_training-a_a0005,2000,2000,10,250,0.125,0.01071,-0.00329,0.12318,-0.03902
d1_normal,D1_training-a_a0005,2000,2000,10,260,0.13,0.01224,-0.00332,0.14071,-0.03938
