time_sec,raw_amplitude,filtered_amplitude
0.0,-3.0517578125e-05,-0.013096705079078674
0.0005,0.0009765625,-0.01136093307286501
0.001,0.002044677734375,-0.009892832487821579
0.0015,0.001800537109375,-0.008692974224686623
0.002,0.002532958984375,-0.007502635940909386
0.0025,0.00299072265625,-0.006151867564767599
0.003,0.00335693359375,-0.004822398070245981
0.0035,0.00274658203125,-0.0039631701074540615
0.004,0.00238037109375,-0.003916249144822359
0.0045,0.000579833984375,-0.004555146675556898
0.005,-0.002471923828125,-0.005285782739520073
0.0055,-0.003082275390625,-0.0054606362245976925
0.006,-0.003265380859375,-0.004813679959625006
0.0065,-0.00506591796875,-0.003531728172674775
0.007,-0.003997802734375,-0.002004191977903247
0.0075,-0.00396728515625,-0.0005068963509984314
0.008,-0.0052490234375,0.0009795355144888163
0.0085,-0.0042724609375,0.0026517375372350216
0.009,-0.005340576171875,0.00449721422046423
0.0095,-0.006195068359375,0.006067840848118067
0.01,-0.005218505859375,0.006823296658694744
0.0105,-0.00927734375,0.006701967678964138
0.011,-0.0137939453125,0.006057564169168472
0.0115,-0.015228271484375,0.004942632280290127
0.012,-0.019073486328125,0.002876599319279194
0.0125,-0.027313232421875,-0.0003738672530744225
0.013,-0.032958984375,-0.004076553042978048
0.0135,-0.037994384765625,-0.006922023370862007
0.014,-0.042999267578125,-0.008049353957176208
0.0145,-0.0455322265625,-0.007572968956083059
0.015,-0.046142578125,-0.006211109459400177
0.0155,-0.0499267578125,-0.004528541583567858
0.016,-0.049346923828125,-0.002562231384217739
0.0165,-0.051239013671875,-0.00017066449800040573
0.017,-0.053802490234375,0.0023043514229357243
0.0175,-0.054046630859375,0.003959169611334801
0.018,-0.056671142578125,0.004291078075766563
0.0185,-0.063507080078125,0.004355457611382008
0.019,-0.063385009765625,0.00662860507145524
0.0195,-0.06048583984375,0.013321793638169765
0.02,-0.055206298828125,0.024594169110059738
0.0205,-0.043548583984375,0.03819119557738304
0.021,-0.036865234375,0.05068023130297661
0.0215,-0.032501220703125,0.05923957750201225
0.022,-0.03326416015625,0.0628189668059349
0.0225,-0.0389404296875,0.06225747987627983
0.023,-0.044586181640625,0.05964247137308121
0.0235,-0.05303955078125,0.057169221341609955
0.024,-0.059600830078125,0.0556676983833313
0.0245,-0.065673828125,0.053596220910549164
0.025,-0.07635498046875,0.04784092307090759
0.0255,-0.09234619140625,0.03658295050263405
0.026,-0.11029052734375,0.02221384458243847
0.0265,-0.12835693359375,0.01131768524646759
0.027,-0.133575439453125,0.010841572657227516
0.0275,-0.124542236328125,0.023196762427687645
0.028,-0.108306884765625,0.04433422535657883
0.0285,-0.092132568359375,0.06611742824316025
0.029,-0.082061767578125,0.0805632472038269
0.0295,-0.08544921875,0.08270733058452606
0.03,-0.1011962890625,0.07103358954191208
0.0305,-0.130279541015625,0.04659964144229889
0.031,-0.1697998046875,0.012256044894456863
0.0315,-0.213348388671875,-0.027703801169991493
0.032,-0.259613037109375,-0.06796665489673615
0.0325,-0.2982177734375,-0.103084996342659
0.033,-0.32806396484375,-0.12860432267189026
0.0335,-0.346466064453125,-0.1419254094362259
0.034,-0.350616455078125,-0.1426219940185547
0.0345,-0.344696044921875,-0.1322314441204071
